DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;;
Período:2015;;;;;;;;;;;;;;
Município infecção;Ign/Em Branco;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
314810 Patrocínio;-;-;-;-;-;-;-;-;1;-;-;-;-;1
314870 Pedra Azul;-;-;1;-;-;-;-;-;-;-;-;-;-;1
315060 Piracema;-;1;-;-;-;-;-;-;-;-;-;-;-;1
315100 Piranguinho;-;-;-;-;-;-;-;-;-;-;-;-;1;1
315140 Pitangui;-;-;-;-;1;-;-;-;-;-;-;-;-;1
315150 Piumhi;-;-;-;-;-;1;-;-;-;-;-;-;-;1
315160 Planura;-;2;1;-;1;-;-;-;-;-;-;-;-;4
315180 Poços de Caldas;-;1;5;1;4;-;-;-;-;1;-;-;1;13
315250 Pouso Alegre;-;-;2;2;2;1;-;-;-;-;-;-;-;7
315280 Prata;-;1;-;-;-;-;-;-;-;-;-;-;-;1
315290 Pratápolis;-;-;-;1;-;-;-;-;-;-;-;-;-;1
315390 Raposos;-;-;-;-;-;-;-;-;-;-;-;-;1;1
315400 Raul Soares;-;-;2;-;-;-;-;-;-;-;-;-;-;2
315700 Salinas;-;-;-;-;-;-;-;-;-;-;-;-;1;1
315727 Santa Bárbara do Monte Verde;-;1;-;-;-;-;1;-;-;-;-;-;-;2
315765 Santa Helena de Minas;-;-;-;-;1;-;-;-;-;-;-;-;-;1
315990 Santo Antônio do Amparo;-;-;-;-;-;-;1;-;-;-;-;-;-;1
316200 São Gonçalo do Sapucaí;-;-;1;1;-;-;-;-;-;-;-;-;-;2
316220 São João Batista do Glória;-;-;1;-;-;-;-;-;-;-;-;-;-;1
316250 São João del Rei;-;-;-;1;-;-;-;-;-;-;-;-;-;1
316290 São João Nepomuceno;-;-;-;-;-;-;-;1;-;-;-;-;-;1
316320 São José do Alegre;-;-;-;1;-;-;-;-;-;-;-;-;-;1
316370 São Lourenço;-;-;-;1;1;-;-;-;-;-;-;-;-;2
316470 São Sebastião do Paraíso;-;-;-;1;-;-;-;-;-;-;-;-;-;1
316540 Sapucaí-Mirim;-;-;-;-;-;1;1;-;-;-;-;-;-;2
316650 Serra Azul de Minas;-;-;-;1;-;-;-;-;-;-;-;-;-;1
316720 Sete Lagoas;-;-;-;-;1;-;-;-;-;-;-;-;-;1
316860 Teófilo Otoni;-;-;-;-;-;1;-;-;-;1;-;-;-;2
316930 Três Corações;-;-;-;1;-;-;-;-;-;-;-;-;-;1
316990 Ubá;-;-;-;-;1;-;1;-;-;-;-;-;1;3
317010 Uberaba;-;2;2;2;3;1;-;1;-;-;-;-;-;11
317020 Uberlândia;-;4;3;1;1;2;-;2;-;-;-;-;-;13
317040 Unaí;-;-;1;-;1;-;-;-;-;-;-;-;-;2
317070 Varginha;-;-;-;-;1;-;-;-;-;-;-;-;-;1
317090 Varzelândia;-;-;-;-;-;-;-;-;1;-;-;-;-;1
317110 Veríssimo;-;-;-;-;1;-;-;-;-;-;-;-;-;1
317170 Virgínia;-;-;-;1;-;1;-;-;-;-;-;-;-;2
317210 Volta Grande;-;-;-;-;-;-;-;-;-;-;-;-;1;1
320130 Cariacica;-;-;-;-;-;-;-;1;-;-;-;-;-;1
320190 Domingos Martins;-;-;1;-;-;-;-;-;-;-;-;-;-;1
320240 Guarapari;-;-;1;-;-;-;-;-;-;-;-;-;-;1
320332 Marataízes;-;-;-;-;-;1;-;-;-;-;-;-;-;1
320350 Montanha;-;1;-;-;-;-;-;-;-;-;-;-;-;1
320410 Pinheiros;-;1;1;-;-;-;-;-;-;-;-;-;-;2
320490 São Mateus;-;1;-;-;-;-;-;-;-;-;-;-;-;1
320500 Serra;-;-;1;-;-;-;-;-;-;-;-;-;-;1
320520 Vila Velha;-;-;1;-;-;-;-;-;-;-;-;-;-;1
320530 Vitória;-;1;-;-;1;-;-;-;1;-;-;-;-;3
330010 Angra dos Reis;-;-;3;3;-;1;1;1;-;-;-;-;-;9
330023 Armação dos Búzios;-;-;-;1;-;-;-;-;-;-;-;-;-;1
330040 Barra Mansa;-;-;-;2;1;1;-;-;-;-;-;-;-;4
330070 Cabo Frio;-;1;-;-;-;-;-;-;-;-;-;-;-;1
330200 Itaguaí;-;-;1;-;-;-;-;-;-;-;-;-;-;1
330225 Itatiaia;-;-;1;1;-;-;-;-;-;-;-;-;-;2
330240 Macaé;-;-;-;-;-;-;-;-;-;1;-;-;-;1
330280 Mendes;-;-;-;-;1;-;-;-;-;-;-;-;-;1
330330 Niterói;-;-;-;-;-;-;-;-;-;-;-;1;-;1
330350 Nova Iguaçu;-;-;1;-;-;-;-;2;-;-;-;-;2;5
330380 Paraty;-;3;1;2;1;1;2;-;-;-;-;2;-;12
330390 Petrópolis;-;2;1;-;-;-;-;-;-;-;-;-;-;3
330420 Resende;-;8;10;18;2;1;-;-;-;-;-;-;-;39
330452 Rio das Ostras;-;-;-;-;-;-;-;-;-;-;1;-;-;1
330455 Rio de Janeiro;-;15;14;18;19;7;-;3;1;2;3;1;10;93
330460 Santa Maria Madalena;-;-;-;1;-;-;-;-;-;-;-;-;-;1
330555 Seropédica;-;-;-;-;-;-;-;-;-;-;-;-;1;1
330580 Teresópolis;-;-;1;-;-;-;-;-;-;-;-;-;-;1
330630 Volta Redonda;-;-;2;3;1;1;-;-;-;-;-;-;-;7
350010 Adamantina;-;11;79;368;428;176;36;26;13;2;1;3;8;1151
350020 Adolfo;-;3;11;58;9;8;2;-;3;2;7;6;6;115
350030 Aguaí;-;1316;1066;84;19;1;2;2;4;1;4;1;37;2537
350040 Águas da Prata;-;25;155;70;22;1;-;-;-;-;-;-;-;273
350050 Águas de Lindóia;-;2;17;36;36;10;2;-;-;-;-;-;-;103
350055 Águas de Santa Bárbara;-;1;4;3;5;3;2;-;-;-;1;1;-;20
350060 Águas de São Pedro;-;-;5;16;3;1;-;-;-;-;-;-;-;25
350070 Agudos;-;11;59;208;307;110;14;4;2;-;-;2;2;719
350075 Alambari;-;1;-;2;-;-;-;-;-;-;-;-;-;3
350080 Alfredo Marcondes;-;-;-;1;-;4;2;-;-;-;-;1;-;8
350090 Altair;-;-;5;12;19;26;-;1;-;-;-;-;-;63
350100 Altinópolis;-;1;7;34;24;5;1;-;-;-;1;-;2;75
350110 Alto Alegre;-;14;19;17;1;-;-;-;-;-;-;-;-;51
350115 Alumínio;-;-;3;40;83;20;2;-;-;1;-;2;5;156
350120 Álvares Florence;-;-;3;6;5;8;2;1;2;-;-;-;2;29
350130 Álvares Machado;-;1;3;17;43;33;24;8;2;-;2;35;24;192
350140 Álvaro de Carvalho;-;2;13;6;4;-;-;-;1;-;-;-;-;26
350150 Alvinlândia;-;-;2;-;-;-;-;-;-;-;-;-;-;2
350160 Americana;-;55;418;2356;2860;1418;261;32;2;4;1;8;35;7450
350170 Américo Brasiliense;-;3;37;205;362;64;10;-;1;-;-;-;-;682
350180 Américo de Campos;-;1;-;14;21;13;10;4;1;-;-;1;1;66
350190 Amparo;-;133;1192;3339;1504;362;28;1;-;3;3;4;3;6572
350200 Analândia;-;1;2;15;25;6;-;-;-;-;-;-;-;49
350210 Andradina;-;13;23;96;419;748;96;44;36;66;68;99;145;1853
350220 Angatuba;-;2;2;31;57;23;3;-;1;-;-;-;-;119
350230 Anhembi;-;-;-;65;41;5;-;-;-;-;-;-;-;111
350240 Anhumas;-;-;-;1;24;40;7;1;-;-;-;-;1;74
350250 Aparecida;-;5;33;391;697;385;83;5;1;1;2;-;7;1610
350260 Aparecida d'Oeste;-;35;32;19;54;22;1;3;-;-;-;-;2;168
350270 Apiaí;-;-;3;6;10;1;-;-;-;-;-;-;-;20
350275 Araçariguama;-;1;12;56;81;26;5;-;-;-;2;-;-;183
350280 Araçatuba;-;150;174;466;455;327;89;27;7;14;8;10;21;1748
350290 Araçoiaba da Serra;-;13;23;24;10;9;-;-;-;-;1;-;-;80
350300 Aramina;-;-;1;-;-;-;-;-;-;-;-;-;-;1
350310 Arandu;-;-;-;2;4;-;-;-;-;-;-;-;-;6
350315 Arapeí;-;1;14;42;-;-;-;-;-;-;-;-;-;57
350320 Araraquara;-;231;862;2794;320;462;159;34;15;13;20;42;29;4981
350330 Araras;-;31;168;706;1006;593;114;12;3;2;1;3;4;2643
350335 Arco-Íris;-;-;-;1;1;4;1;-;-;-;-;-;-;7
350340 Arealva;-;18;110;67;99;38;7;1;-;-;-;-;-;340
350350 Areias;-;-;-;-;-;1;-;1;-;-;1;-;-;3
350360 Areiópolis;-;1;66;290;88;25;1;-;1;-;-;-;-;472
350370 Ariranha;-;8;70;95;24;12;3;-;-;-;2;-;-;214
350380 Artur Nogueira;-;15;204;421;118;5;2;2;-;1;1;3;3;775
350390 Arujá;-;3;26;116;55;7;1;-;-;-;-;-;1;209
350395 Aspásia;-;-;1;1;18;4;-;-;-;-;-;2;4;30
350400 Assis;-;136;690;1922;1490;270;29;9;4;1;3;4;5;4563
350410 Atibaia;-;7;100;309;398;173;11;4;2;2;-;-;8;1014
350420 Auriflama;-;3;21;46;45;40;30;5;3;1;-;-;1;195
350430 Avaí;-;90;63;69;25;4;8;-;-;-;-;-;117;376
350440 Avanhandava;-;10;16;24;17;2;-;-;-;-;-;-;-;69
350450 Avaré;-;-;16;72;102;22;2;1;1;-;-;-;-;216
350460 Bady Bassitt;-;2;27;60;148;123;33;1;2;1;5;6;3;411
350470 Balbinos;-;1;8;5;1;-;-;-;-;-;-;-;-;15
350480 Bálsamo;-;13;97;132;31;40;11;-;2;1;-;-;-;327
350490 Bananal;-;1;32;35;86;15;6;-;-;-;-;-;-;175
