DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;
Casos Prováveis por Município infecção e Class. Final;;;;;;;;;;
Período:2015;;;;;;;;;;
Município infecção;Ign/Branco;Dengue Clássico;Dengue com complicações;Febre Hemorrágica do Dengue;Síndrome do Choque do Dengue;Dengue;Dengue com sinais de alarme;Dengue grave;Inconclusivo;Total
314410 Muzambinho;-;1;-;-;-;4;-;-;-;5
314510 Nova Resende;-;-;-;-;-;1;-;-;-;1
314520 Nova Serrana;-;-;-;-;-;1;-;-;-;1
314550 Olímpio Noronha;-;-;-;-;-;1;-;-;-;1
314560 Oliveira;-;-;-;-;-;1;-;-;-;1
314600 Ouro Fino;-;-;-;-;-;2;-;-;-;2
314610 Ouro Preto;-;-;-;-;-;1;-;-;-;1
314710 Pará de Minas;-;-;-;-;-;1;-;-;-;1
314700 Paracatu;-;-;-;-;-;1;1;-;-;2
314730 Paraisópolis;-;-;-;-;-;2;-;-;-;2
314760 Passa Quatro;-;1;-;-;-;1;-;-;-;2
314790 Passos;-;-;-;-;-;5;-;-;-;5
314800 Patos de Minas;-;-;-;-;-;2;-;-;-;2
314810 Patrocínio;-;-;-;-;-;-;1;-;-;1
314870 Pedra Azul;-;-;-;-;-;1;-;-;-;1
315060 Piracema;-;-;-;-;-;1;-;-;-;1
315100 Piranguinho;-;-;-;-;-;1;-;-;-;1
315140 Pitangui;-;-;-;-;-;1;-;-;-;1
315150 Piumhi;-;-;-;-;-;1;-;-;-;1
315160 Planura;-;-;-;-;-;4;-;-;-;4
315180 Poços de Caldas;-;-;-;-;-;13;-;-;-;13
315250 Pouso Alegre;-;-;-;-;-;7;-;-;-;7
315280 Prata;-;-;-;-;-;1;-;-;-;1
315290 Pratápolis;-;-;-;-;-;1;-;-;-;1
315390 Raposos;-;-;-;-;-;1;-;-;-;1
315400 Raul Soares;-;-;-;-;-;2;-;-;-;2
315700 Salinas;-;-;-;-;-;1;-;-;-;1
315727 Santa Bárbara do Monte Verde;-;-;-;-;-;2;-;-;-;2
315765 Santa Helena de Minas;-;-;-;-;-;-;1;-;-;1
315990 Santo Antônio do Amparo;-;-;-;-;-;-;-;-;1;1
316200 São Gonçalo do Sapucaí;-;1;-;-;-;1;-;-;-;2
316220 São João Batista do Glória;-;-;-;-;-;1;-;-;-;1
316250 São João del Rei;-;-;-;-;-;1;-;-;-;1
316290 São João Nepomuceno;-;-;-;-;-;1;-;-;-;1
316320 São José do Alegre;-;-;-;-;-;1;-;-;-;1
316370 São Lourenço;-;-;-;-;-;2;-;-;-;2
316470 São Sebastião do Paraíso;-;-;-;-;-;1;-;-;-;1
316540 Sapucaí-Mirim;-;-;-;-;-;2;-;-;-;2
316650 Serra Azul de Minas;-;-;-;-;-;1;-;-;-;1
316720 Sete Lagoas;-;-;-;-;-;-;1;-;-;1
316860 Teófilo Otoni;-;-;-;-;-;2;-;-;-;2
316930 Três Corações;-;-;-;-;-;1;-;-;-;1
316990 Ubá;-;-;-;-;-;3;-;-;-;3
317010 Uberaba;-;1;-;-;-;10;-;-;-;11
317020 Uberlândia;-;-;-;-;-;12;1;-;-;13
317040 Unaí;-;-;-;-;-;2;-;-;-;2
317070 Varginha;-;-;-;-;-;1;-;-;-;1
317090 Varzelândia;-;-;-;-;-;1;-;-;-;1
317110 Veríssimo;-;1;-;-;-;-;-;-;-;1
317170 Virgínia;-;-;-;-;-;2;-;-;-;2
317210 Volta Grande;-;-;-;-;-;1;-;-;-;1
320130 Cariacica;-;-;-;-;-;1;-;-;-;1
320190 Domingos Martins;-;-;-;-;-;1;-;-;-;1
320240 Guarapari;-;-;-;-;-;1;-;-;-;1
320332 Marataízes;-;-;-;-;-;1;-;-;-;1
320350 Montanha;-;-;-;-;-;1;-;-;-;1
320410 Pinheiros;-;-;-;-;-;2;-;-;-;2
320490 São Mateus;-;-;-;-;-;1;-;-;-;1
320500 Serra;-;-;-;-;-;1;-;-;-;1
320520 Vila Velha;-;-;-;-;-;1;-;-;-;1
320530 Vitória;-;-;-;-;-;3;-;-;-;3
330010 Angra dos Reis;-;-;-;-;-;9;-;-;-;9
330023 Armação dos Búzios;-;-;-;-;-;1;-;-;-;1
330040 Barra Mansa;-;-;-;-;-;4;-;-;-;4
330070 Cabo Frio;-;-;-;-;-;1;-;-;-;1
330200 Itaguaí;-;-;-;-;-;1;-;-;-;1
330225 Itatiaia;-;-;-;-;-;2;-;-;-;2
330240 Macaé;-;-;-;-;-;1;-;-;-;1
330280 Mendes;-;-;-;-;-;1;-;-;-;1
330330 Niterói;-;-;-;-;-;1;-;-;-;1
330350 Nova Iguaçu;-;-;-;-;-;5;-;-;-;5
330380 Paraty;-;1;-;-;-;11;-;-;-;12
330390 Petrópolis;-;-;-;-;-;3;-;-;-;3
330420 Resende;-;1;-;-;-;38;-;-;-;39
330452 Rio das Ostras;-;-;-;-;-;1;-;-;-;1
330455 Rio de Janeiro;-;3;-;-;-;90;-;-;-;93
330460 Santa Maria Madalena;-;-;-;-;-;1;-;-;-;1
330555 Seropédica;-;-;-;-;-;1;-;-;-;1
330580 Teresópolis;-;-;-;-;-;1;-;-;-;1
330630 Volta Redonda;-;-;-;-;-;7;-;-;-;7
350010 Adamantina;-;-;-;-;-;1130;19;2;-;1151
350020 Adolfo;-;-;-;-;-;115;-;-;-;115
350030 Aguaí;-;-;-;-;-;2519;18;-;-;2537
350040 Águas da Prata;-;-;1;-;-;269;2;-;1;273
350050 Águas de Lindóia;-;-;-;-;-;98;4;1;-;103
350055 Águas de Santa Bárbara;-;-;-;-;-;20;-;-;-;20
350060 Águas de São Pedro;-;-;-;-;-;24;1;-;-;25
350070 Agudos;-;-;-;-;-;713;6;-;-;719
350075 Alambari;-;-;-;-;-;3;-;-;-;3
350080 Alfredo Marcondes;-;-;-;-;-;8;-;-;-;8
350090 Altair;-;-;-;-;-;63;-;-;-;63
350100 Altinópolis;-;-;-;-;-;75;-;-;-;75
350110 Alto Alegre;-;1;-;-;-;50;-;-;-;51
350115 Alumínio;-;-;-;-;-;156;-;-;-;156
350120 Álvares Florence;-;-;-;-;-;29;-;-;-;29
350130 Álvares Machado;-;-;-;-;-;172;1;-;19;192
