DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município infecção e Faixa Etária
Período:2016
"Município infecção";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"355590 Uru";-;-;-;1;-;-;1;1;-;-;-;-;3
"355600 Urupês";-;-;1;-;-;-;3;2;-;-;-;-;6
"355610 Valentim Gentil";-;-;-;1;-;3;10;6;-;2;-;-;22
"355620 Valinhos";-;1;-;1;2;1;6;5;-;1;1;-;18
"355630 Valparaíso";-;-;3;1;1;2;13;7;-;-;1;-;28
"355640 Vargem Grande do Sul";-;-;2;3;7;5;39;43;11;3;7;1;121
"355645 Vargem Grande Paulista";-;-;1;1;1;-;1;2;1;-;1;-;8
"355650 Várzea Paulista";-;2;-;1;2;1;10;9;-;-;1;-;26
"355660 Vera Cruz";-;-;-;1;-;-;4;3;-;1;1;-;10
"355670 Vinhedo";-;1;2;-;1;5;21;7;3;1;1;-;42
"355680 Viradouro";-;-;1;2;5;5;30;14;6;3;1;2;69
"355690 Vista Alegre do Alto";-;-;-;-;2;2;5;3;-;-;-;-;12
